"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability_x_Transparency"
"03/01/2026 12:45:59:211 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","robot-transparency","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"123","70","90","3","3","30","50","70","50","50","0.5","2000","2000","69.22098910581983","88","100","90.43049823372398","76.52173913043478","4.918032786885246","0","0.23421097305422603","3.058747837246115","0","0"
"124","85","90","3","3","30","50","70","50","50","0.5","2000","2000","85.06591570633252","91","100","83.33333333333333","81.25","6.521739130434782","0","0.23484824114894054","3.0695248864496585","0","0"
"126","40","10","3","3","30","50","70","50","50","0.5","2000","2000","39.84228598441301","66","100","62.5","60.550458715596335","0","0","0.2730951303318948","3.7625562413779234","0","0"
"125","100","90","3","3","30","50","70","50","50","0.5","2000","2000","100","100","100","50.407955964135745","86.95652173913044","5.357142857142857","33.33333333333333","0.22018228757975425","2.8272346658438052","0","0"
"127","55","10","3","3","30","50","70","50","50","0.5","2000","2000","56.50874443445331","84","100","83.33333333333333","68.85245901639344","5.263157894736842","0","0.2866651111890224","4.018921253107266","66.66666666666666","1000"
"130","100","10","3","3","30","50","70","50","50","0.5","2000","2000","100","88","100","66.66666666666667","88","22.857142857142858","0","0.2843096013278101","3.972722949149133","50","250"
"128","70","10","3","3","30","50","70","50","50","0.5","2000","2000","70.56239761143028","76","100","66.66666666666667","73.7864077669903","4.081632653061225","0","0.28427127149317194","3.9719815689891935","50","1300"
"132","55","30","3","3","30","50","70","50","50","0.5","2000","2000","53.27803296895288","75","100","66.66666666666667","68.18181818181817","6.896551724137931","0","0.26615799833883863","3.627123586354852","25","1400"
"131","40","30","3","3","30","50","70","50","50","0.5","2000","2000","40.10021763376087","75","100","65.2655902097848","61.47540983606557","3.1746031746031744","0","0.2628682326931719","3.5666034034348506","0","0"
"129","85","10","3","3","30","50","70","50","50","0.5","2000","2000","85.18135175101006","74","100","83.33333333333333","78.72340425531915","10.416666666666668","0","0.28411402946238323","3.968929756735072","40","600"
"133","70","30","3","3","30","50","70","50","50","0.5","2000","2000","68.28052577426492","76","100","83.33333333333333","71.02803738317756","9.75609756097561","0","0.26820233431915935","3.665192058505479","0","0"
"134","85","30","3","3","30","50","70","50","50","0.5","2000","2000","85.66778539063995","70","100","100","85.36585365853658","29.166666666666668","0","0.26820233431915913","3.6651920585054767","0","0"
"136","40","50","3","3","30","50","70","50","50","0.5","2000","2000","40.32758309078543","81","100","78.96863532276046","61.36363636363637","0","0","0.24679483966318172","3.276822118355961","0","0"
"135","100","30","3","3","30","50","70","50","50","0.5","2000","2000","100","81","83.33333333333334","83.33333333333333","82.6530612244898","30","0","0.2682023343191593","3.665192058505479","46.666666666666664","171.42857142857142"
"137","55","50","3","3","30","50","70","50","50","0.5","2000","2000","55.18171445162338","79","100","73.58674495618854","63.70967741935484","1.9607843137254901","0","0.251020802863575","3.3516850203968223","100","2200"
"139","85","50","3","3","30","50","70","50","50","0.5","2000","2000","85.52903778151449","78","100","66.66666666666667","74.28571428571429","2.564102564102564","0","0.250559963233911","3.3435114245452198","100","2200"
"138","70","50","3","3","30","50","70","50","50","0.5","2000","2000","70.96352785934845","89","100","66.66666666666667","78.0701754385965","7.8431372549019605","0","0.25055996275806275","3.3435114161209545","25","1400"
