"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\rkall\OneDrive\Documents\Personal\HRI Paper\Original\Trustv5.nlogo"
"Sweep_Reliability"
"02/23/2026 10:13:00:328 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization"
"145","75","3","3","30","50","70","50","50","50","2000","86.55405894051529","83","100","66.66666666666667","79.04761904761905","1367","100"
"146","80","3","3","30","50","70","50","50","50","2000","90.09849515158128","111","83.33333333333334","100","91.73553719008265","811","100"
"148","90","3","3","30","50","70","50","50","50","2000","97.2090101178507","122","100","68.80917248112495","95.3125","871","100"
"147","85","3","3","30","50","70","50","50","50","2000","95.19771703322175","103","100","90.78901261130865","91.96428571428571","1398","100"
"149","95","3","3","30","50","70","50","50","50","2000","98.59302533249449","102","100","91.2272212591213","98.07692307692307","776","100"
"150","100","3","3","30","50","70","50","50","50","2000","100","120","100","66.66666666666667","100","1154","100"
"152","35","3","3","30","50","70","50","50","50","2000","35.970058597344085","75","83.33333333333334","91.40585304264947","59.055118110236215","852","66.66666666666666"
"153","40","3","3","30","50","70","50","50","50","2000","47.18004984618611","72","100","66.66666666666667","66.05504587155964","1163","100"
"154","45","3","3","30","50","70","50","50","50","2000","49.76302909748452","93","100","59.28184281847931","76.22950819672131","612","100"
"151","30","3","3","30","50","70","50","50","50","2000","39.831035577333566","74","100","56.87830689169979","61.66666666666667","1281","100"
"155","50","3","3","30","50","70","50","50","50","2000","55.73736301628011","101","100","84.42367601246106","74.81481481481481","792","100"
"157","60","3","3","30","50","70","50","50","50","2000","63.28977732822663","106","100","74.2046012616923","81.53846153846153","981","100"
"158","65","3","3","30","50","70","50","50","50","2000","73.21324982042968","97","100","60.49751202259887","84.34782608695653","861","100"
"156","55","3","3","30","50","70","50","50","50","2000","67.7920858200891","80","100","66.66666666666667","74.07407407407408","1144","100"
"159","70","3","3","30","50","70","50","50","50","2000","87.3776807499223","89","100","83.33333333333333","84.76190476190476","1165","100"
"160","75","3","3","30","50","70","50","50","50","2000","84.56901567027008","111","100","71.79930795847751","85.38461538461539","810","100"
"161","80","3","3","30","50","70","50","50","50","2000","96.80628543749309","109","100","74.73417253712796","90.08264462809917","1338","100"
"162","85","3","3","30","50","70","50","50","50","2000","95.37652177426044","91","100","83.33333333333333","89.2156862745098","1367","100"
"163","90","3","3","30","50","70","50","50","50","2000","91.43399599428771","121","100","89.89898987142256","96.8","791","100"
"165","100","3","3","30","50","70","50","50","50","2000","100","117","100","69.78319783197831","100","1307","100"
"166","30","3","3","30","50","70","50","50","50","2000","40.560654191633226","57","100","83.33333333333333","51.35135135135135","949","100"
"167","35","3","3","30","50","70","50","50","50","2000","38.658980796684595","89","100","76.55941315902227","69.53125","627","100"
"164","95","3","3","30","50","70","50","50","50","2000","98.32104329038492","120","100","100","97.5609756097561","880","100"
"168","40","3","3","30","50","70","50","50","50","2000","51.73242694077475","78","100","74.55738473608517","75","1156","100"
"169","45","3","3","30","50","70","50","50","50","2000","77.79071470165088","74","100","66.66666666666667","67.88990825688074","1453","100"
"170","50","3","3","30","50","70","50","50","50","2000","54.80954801068853","99","83.33333333333334","69.81104819976771","73.33333333333333","687","100"
"171","55","3","3","30","50","70","50","50","50","2000","68.55672262214246","92","100","50","77.31092436974791","1146","100"
"172","60","3","3","30","50","70","50","50","50","2000","77.09209354641403","88","100","71.65332871287507","79.27927927927928","1037","100"
"173","65","3","3","30","50","70","50","50","50","2000","74.23963778056795","100","100","66.66666666666667","85.47008547008546","936","100"
"174","70","3","3","30","50","70","50","50","50","2000","90.06656051768466","72","100","66.66666666666667","77.41935483870968","1399","100"
"175","75","3","3","30","50","70","50","50","50","2000","76.32270032985967","105","100","74.32992234748971","85.36585365853658","752","100"
"176","80","3","3","30","50","70","50","50","50","2000","95.08525379270742","96","100","58.31894627271307","89.7196261682243","1119","100"
"177","85","3","3","30","50","70","50","50","50","2000","90.9788532734719","106","100","50","92.17391304347827","1114","100"
"178","90","3","3","30","50","70","50","50","50","2000","95.57139242498529","92","100","83.33333333333333","94.84536082474226","1172","100"
"179","95","3","3","30","50","70","50","50","50","2000","98.46473619726271","114","83.33333333333334","50","95","1133","66.66666666666666"
"180","100","3","3","30","50","70","50","50","50","2000","100","106","100","66.66666666666667","100","1362","100"
"181","30","3","3","30","50","70","50","50","50","2000","38.8690602097358","67","100","66.66666666666667","64.42307692307693","796","100"
"182","35","3","3","30","50","70","50","50","50","2000","42.21202531598437","71","100","78.02028152184648","60.68376068376068","967","100"
"184","45","3","3","30","50","70","50","50","50","2000","69.14828862368103","91","100","45.16091143998121","72.8","1220","100"
"183","40","3","3","30","50","70","50","50","50","2000","44.631820056100615","76","100","66.66666666666667","63.86554621848739","1001","100"
"186","55","3","3","30","50","70","50","50","50","2000","80.98673376758173","101","100","90.93890261754375","76.51515151515152","504","100"
"185","50","3","3","30","50","70","50","50","50","2000","56.46631712962385","92","100","50","70.76923076923077","872","100"
"188","65","3","3","30","50","70","50","50","50","2000","71.42221348470578","105","100","62.5","83.33333333333334","801","100"
"189","70","3","3","30","50","70","50","50","50","2000","88.17540466962792","98","100","50","81.66666666666667","1175","100"
"187","60","3","3","30","50","70","50","50","50","2000","64.72905692625513","98","100","54.22885572139304","74.80916030534351","470","100"
"190","75","3","3","30","50","70","50","50","50","2000","80.6814252870491","109","100","90.81934312755186","85.8267716535433","629","100"
"191","80","3","3","30","50","70","50","50","50","2000","91.85020084101933","117","100","72.42828433295317","93.60000000000001","999","100"
"193","90","3","3","30","50","70","50","50","50","2000","95.53571908237546","110","100","66.66666666666667","94.82758620689656","1015","100"
"194","95","3","3","30","50","70","50","50","50","2000","98.09131997455499","109","100","84.63901689708145","98.1981981981982","1055","100"
"192","85","3","3","30","50","70","50","50","50","2000","88.52259930674352","135","100","75.49526270883341","93.75","632","100"
"195","100","3","3","30","50","70","50","50","50","2000","100","123","100","50","100","1161","100"
"198","40","3","3","30","50","70","50","50","50","2000","45.66693464157752","77","100","65.00044878141591","67.54385964912281","998","100"
"197","35","3","3","30","50","70","50","50","50","2000","50.48583500462055","55","100","66.66666666666667","56.70103092783505","1326","100"
"199","45","3","3","30","50","70","50","50","50","2000","54.9472990945434","75","83.33333333333334","83.33333333333333","64.1025641025641","1301","100"
"196","30","3","3","30","50","70","50","50","50","2000","47.10811713676683","85","100","66.66666666666667","68","1019","100"
"201","55","3","3","30","50","70","50","50","50","2000","77.59191924574344","80","100","83.33333333333333","74.07407407407408","1190","100"
"200","50","3","3","30","50","70","50","50","50","2000","56.97755446733661","79","100","100","68.69565217391305","1131","100"
"203","65","3","3","30","50","70","50","50","50","2000","77.47647109343494","71","100","66.66666666666667","80.68181818181817","1216","100"
"202","60","3","3","30","50","70","50","50","50","2000","70.38436733009223","96","66.66666666666666","76.30417686355099","84.21052631578947","1524","100"
"204","70","3","3","30","50","70","50","50","50","2000","89.3950496592289","84","100","66.66666666666667","84","802","100"
"205","75","3","3","30","50","70","50","50","50","2000","93.609933588327","82","83.33333333333334","50","79.6116504854369","1212","66.66666666666666"
"206","80","3","3","30","50","70","50","50","50","2000","95.08065564736846","98","100","83.33333333333333","87.5","1182","100"
"207","85","3","3","30","50","70","50","50","50","2000","98.29148911317732","109","100","71.79930795847751","89.34426229508196","1144","100"
"208","90","3","3","30","50","70","50","50","50","2000","93.65761766619111","117","100","83.33333333333333","93.60000000000001","877","100"
"209","95","3","3","30","50","70","50","50","50","2000","99.40031469511314","117","100","50","99.15254237288136","1162","100"
"210","100","3","3","30","50","70","50","50","50","2000","100","104","100","61.111111111111114","100","927","100"
"211","30","3","3","30","50","70","50","50","50","2000","44.79854094363194","83","100","83.33333333333333","65.35433070866141","933","100"
"213","40","3","3","30","50","70","50","50","50","2000","51.90543517753637","72","100","92.35034797227934","60.50420168067227","791","100"
"214","45","3","3","30","50","70","50","50","50","2000","48.58402292478842","88","83.33333333333334","90.47967295626147","75.86206896551724","1027","100"
"212","35","3","3","30","50","70","50","50","50","2000","47.18422356178569","84","100","71.16788321167742","67.74193548387096","1321","100"
"216","55","3","3","30","50","70","50","50","50","2000","76.60799557261878","78","100","66.66666666666667","69.02654867256636","1285","100"
"217","60","3","3","30","50","70","50","50","50","2000","60.95131497669143","93","100","83.33333333333333","73.80952380952381","957","100"
"218","65","3","3","30","50","70","50","50","50","2000","88.16502173225062","98","100","72.23768516861979","85.21739130434783","1318","100"
"219","70","3","3","30","50","70","50","50","50","2000","77.77033025029846","96","83.33333333333334","83.33333333333333","80.67226890756302","1021","100"
"215","50","3","3","30","50","70","50","50","50","2000","61.71921120839581","86","100","83.33333333333333","69.35483870967742","880","100"
"220","75","3","3","30","50","70","50","50","50","2000","83.88769393689931","86","100","66.66666666666667","81.9047619047619","1108","100"
"222","85","3","3","30","50","70","50","50","50","2000","98.90815294769523","110","100","66.66666666666667","94.82758620689656","1437","100"
"221","80","3","3","30","50","70","50","50","50","2000","92.38900866267197","92","83.33333333333334","66.66666666666667","85.98130841121495","1311","100"
"223","90","3","3","30","50","70","50","50","50","2000","97.94148121548551","107","100","66.66666666666667","98.1651376146789","1502","100"
"225","100","3","3","30","50","70","50","50","50","2000","100","115","100","83.33333333333333","100","1424","100"
"224","95","3","3","30","50","70","50","50","50","2000","98.78708169506744","134","100","70.97831207291667","97.8102189781022","765","100"
