"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability"
"03/01/2026 12:08:08:982 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"54","70","3","3","30","50","70","50","50","50","0.5","2000","2000","70.44156224134757","96","50","74.24953762981932","76.8","978","100","8.928571428571429","0","0","0","0.2489520760820345","3.316302126010869","0","0"
"55","75","3","3","30","50","70","50","50","50","0.5","2000","2000","75.30500819660615","83","83.33333333333334","66.66666666666667","78.30188679245283","960","66.66666666666666","8.51063829787234","0","0","66.66666666666667","0.2505599822629206","3.3435117672252854","50","600"
"56","80","3","3","30","50","70","50","50","50","0.5","2000","2000","81.00008137104483","93","100","88.66213151927434","85.3211009174312","979","100","3.4482758620689653","0","0","88.66213151927434","0.252314250669324","3.374901325912693","0","0"
"57","85","3","3","30","50","70","50","50","50","0.5","2000","2000","85.60248599529343","106","100","56.54179251354381","83.46456692913385","885","100","7.8125","0","0","56.54179251354381","0.2490590750470334","3.3166453201444894","0","0"
"58","90","3","3","30","50","70","50","50","50","0.5","2000","2000","89.79226887019662","106","100","82.24352831414859","82.17054263565892","893","100","5.263157894736842","0","0","82.24352831414859","0.2515069016851987","3.3602954772552738","0","0"
"60","100","3","3","30","50","70","50","50","50","0.5","2000","2000","100","96","100","83.33333333333333","81.35593220338984","1504","100","5.555555555555555","0","0","83.33333333333333","0.2535398704942615","3.3969018139310427","33.33333333333333","1600"
"61","30","3","3","30","50","70","50","50","50","0.5","2000","2000","30.24309372044898","77","100","60.5841008771931","62.096774193548384","808","100","0","0","0","60.5841008771931","0.24244476278245944","3.200989576188047","0","0"
"62","35","3","3","30","50","70","50","50","50","0.5","2000","2000","36.699794883809986","68","100","66.66666666666667","64.76190476190476","1263","100","2.127659574468085","0","0","66.66666666666667","0.2526878378485682","3.381505345517864","0","0"
"63","40","3","3","30","50","70","50","50","50","0.5","2000","2000","41.46010447799037","81","100","100","62.30769230769231","986","100","1.5873015873015872","0","0","100","0.25481691952789043","3.4195210037739883","100","1800"
"59","95","3","3","30","50","70","50","50","50","0.5","2000","2000","95.79734634589501","97","100","62.75720164609053","83.62068965517241","818","100","1.9607843137254901","0","0","62.75720164609053","0.24345324598127668","3.221166992915792","0","0"
"64","45","3","3","30","50","70","50","50","50","0.5","2000","2000","45.68709384418717","67","100","50","65.0485436893204","1040","100","4.081632653061225","0","0","50","0.2570008362997313","3.4625882337395706","0","0"
"65","50","3","3","30","50","70","50","50","50","0.5","2000","2000","50.058956774626516","52","100","66.66666666666667","53.06122448979592","1464","100","21.21212121212121","0","0","66.66666666666667","0.2504973723425943","3.342403612236456","28.57142857142857","1400"
"66","55","3","3","30","50","70","50","50","50","0.5","2000","2000","54.338997397111996","77","100","83.33333333333333","70","1044","100","4.081632653061225","0","0","83.33333333333333","0.25055996323391105","3.3435114245452198","0","0"
"67","60","3","3","30","50","70","50","50","50","0.5","2000","2000","60.881542180431104","87","100","69.69696969694279","77.67857142857143","1365","100","12.76595744680851","33.33333333333333","9.090909090828337","100","0.2401098830598146","3.1659146676783565","33.33333333333333","850"
"68","65","3","3","30","50","70","50","50","50","0.5","2000","2000","65.76901983553698","79","100","66.66666666666667","75.23809523809524","889","100","10.869565217391305","0","0","66.66666666666667","0.250559963236052","3.3435114245831237","20","1500"
"71","80","3","3","30","50","70","50","50","50","0.5","2000","2000","80.45571709016542","118","100","79.67479674796748","88.7218045112782","642","100","2.631578947368421","0","0","79.67479674796748","0.24742669592358132","3.289371494054596","0","0"
"69","70","3","3","30","50","70","50","50","50","0.5","2000","2000","70.45381422183004","83","100","73.47571251145808","76.14678899082568","1070","100","9.25925925925926","0","0","73.47571251145808","0.2510653592298971","3.352476879941296","0","0"
"70","75","3","3","30","50","70","50","50","50","0.5","2000","2000","74.84589569986265","113","100","43.92898052691867","81.88405797101449","370","100","1.4705882352941175","0","0","43.92898052691867","0.24131799636661896","3.1833039992165726","0","0"
"72","85","3","3","30","50","70","50","50","50","0.5","2000","2000","86.09698607855209","65","100","66.66666666666667","79.26829268292683","866","100","8.823529411764707","0","0","66.66666666666667","0.25055996323392166","3.343511424545411","66.66666666666666","500"
"74","95","3","3","30","50","70","50","50","50","0.5","2000","2000","96.3679553492481","102","100","83.33333333333333","90.2654867256637","1132","100","14.285714285714285","0","0","83.33333333333333","0.25268783784856813","3.3815053455178643","42.857142857142854","366.66666666666663"
"73","90","3","3","30","50","70","50","50","50","0.5","2000","2000","91.40190139230985","106","100","71.16788321167883","84.12698412698413","1294","100","8.695652173913043","0","0","71.16788321167883","0.24897804245628188","3.3156813385272597","16.666666666666664","1400"
"77","35","3","3","30","50","70","50","50","50","0.5","2000","2000","35.335549429296044","79","100","66.74958540630182","61.71875","1067","100","0","0","0","66.74958540630182","0.24583081477031196","3.2613392697198678","0","0"
"75","100","3","3","30","50","70","50","50","50","0.5","2000","2000","99.88417173234762","100","83.33333333333334","69.6969696969697","84.7457627118644","1188","100","12.5","33.33333333333333","9.090909090909092","100","0.24826706149148606","3.315187147133736","0","0"
"76","30","3","3","30","50","70","50","50","50","0.5","2000","2000","31.779561516291636","62","100","66.66666666666667","56.88073394495413","1165","100","2","0","0","66.66666666666667","0.250559963233911","3.3435114245452198","0","0"
"78","40","3","3","30","50","70","50","50","50","0.5","2000","2000","40.59166788307403","52","100","66.66666666666667","54.736842105263165","851","100","6.896551724137931","0","0","66.66666666666667","0.250559963233911","3.3435114245452198","50","2100"
"79","45","3","3","30","50","70","50","50","50","0.5","2000","2000","45.49084781938236","57","100","66.66666666666667","54.807692307692314","1072","100","11.627906976744185","0","0","66.66666666666667","0.2587171411642605","3.492783896637313","20","2400"
"82","60","3","3","30","50","70","50","50","50","0.5","2000","2000","60.92658574625825","89","100","100","71.7741935483871","733","100","0","0","0","100","0.25481571246322554","3.419499266490513","0","0"
"81","55","3","3","30","50","70","50","50","50","0.5","2000","2000","55.01653711625911","73","100","83.33333333333333","64.03508771929825","1093","100","0","0","0","83.33333333333333","0.25268783784856846","3.3815053455178705","0","0"
"83","65","3","3","30","50","70","50","50","50","0.5","2000","2000","65.79424955582418","93","100","59.595959596115414","70.45454545454545","451","100","3.4482758620689653","33.33333333333333","9.09090909090964","84.8484848487183","0.24018709930926277","3.167282097705518","0","0"
"80","50","3","3","30","50","70","50","50","50","0.5","2000","2000","50.385276656883114","92","100","53.03030303030303","68.14814814814815","897","100","4.761904761904762","33.33333333333333","9.09090909090909","75","0.2401098838720972","3.1659146809301455","0","0"
"84","70","3","3","30","50","70","50","50","50","0.5","2000","2000","70.94357332687791","96","100","66.66666666666667","76.19047619047619","710","100","5.357142857142857","0","0","66.66666666666667","0.25055996471400005","3.343511451199101","33.33333333333333","1900"
"85","75","3","3","30","50","70","50","50","50","0.5","2000","2000","75.49282229892326","104","100","55.808903342553265","83.87096774193549","900","100","4.615384615384616","0","0","55.808903342553265","0.25019732773065506","3.337100721347431","66.66666666666666","450"
"86","80","3","3","30","50","70","50","50","50","0.5","2000","2000","80.19344475698011","86","100","66.66666666666667","82.6923076923077","992","100","12.195121951219512","0","0","66.66666666666667","0.24712730873499414","3.2825377822560564","40","600"
"87","85","3","3","30","50","70","50","50","50","0.5","2000","2000","85.74196952748703","116","100","57.87663872770256","89.23076923076924","848","100","10.294117647058822","33.33333333333333","9.090909090909092","82.26950354609929","0.23879284575428492","3.1427201971588423","28.57142857142857","500"
"89","95","3","3","30","50","70","50","50","50","0.5","2000","2000","95.17061775061927","95","100","83.33333333333333","85.58558558558559","1252","100","21.428571428571427","0","0","83.33333333333333","0.2526911964974934","3.3815648067595094","11.11111111111111","1100"
"88","90","3","3","30","50","70","50","50","50","0.5","2000","2000","90.51483105059259","92","100","74.74747474783096","78.63247863247864","821","100","13.333333333333334","0","0","74.74747474783096","0.24351878562491638","3.224910699050659","50","500"
"91","30","3","3","30","50","70","50","50","50","0.5","2000","2000","29.445979928956636","68","100","63.00813008130081","57.6271186440678","806","100","0","0","0","63.00813008130081","0.24294808966353829","3.2105102735369506","0","0"
"93","40","3","3","30","50","70","50","50","50","0.5","2000","2000","40.42647226650595","64","100","66.66666666666667","58.71559633027523","1011","100","1.9230769230769231","0","0","66.66666666666667","0.250559963233911","3.3435114245452198","0","0"
"90","100","3","3","30","50","70","50","50","50","0.5","2000","2000","99.99999964130261","96","100","66.66666666666667","90.56603773584906","1196","100","9.25925925925926","0","0","66.66666666666667","0.25033536473372436","3.339538766225198","40","400"
"96","55","3","3","30","50","70","50","50","50","0.5","2000","2000","55.18052568714015","83","100","61.19748843704816","69.74789915966386","609","100","1.639344262295082","0","0","61.19748843704816","0.2470568984818602","3.28162200779413","0","0"
