"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"TimeSeries_Baseline"
"03/01/2026 12:59:33:523 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-humans","num-robots","initial-tasks","initial-trust","robot-reliability","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","180","92.57070453356027","7","100","52.032545902439296","100","50","0","0","52.032545902439296","0.23014163203369456","2.989891594095448"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","160","75.40520073072332","4","66.66666666666666","52.1426698680797","50","0","0","0","52.1426698680797","0.39578670482199246","10.399025836475422"
"7","3","3","30","50","90","70","50","50","50","0.5","2000","200","77.72664913016902","7","100","59.01027918396128","77.77777777777779","0","0","0","59.01027918396128","0.39842171867705334","10.444337423629658"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","200","77.08826590070915","12","100","32.45711984664908","85.71428571428571","0","0","0","32.45711984664908","0.3923301109802477","10.340553527002337"
"3","3","3","30","50","90","70","50","50","50","0.5","2000","180","90.55346289704806","7","100","33.51631000330822","87.5","14.285714285714285","33.33333333333333","9.34364406779661","45.60264297106403","0.2232164489079377","2.873963108842554"
"2","3","3","30","50","90","70","50","50","50","0.5","2000","200","90.3704802588165","8","100","66.83824766837796","80","0","0","0","66.83824766837796","0.2456517121967956","3.2566874648199566"
"5","3","3","30","50","90","70","50","50","50","0.5","2000","180","91.51955966325382","7","100","49.83040702314445","87.5","33.33333333333333","0","0","49.83040702314445","0.23321204227028025","3.0416446355660853"
"1","3","3","30","50","90","70","50","50","50","0.5","2000","180","76.57130393137795","5","100","55.49817873827826","55.55555555555556","0","0","0","55.49817873827826","0.39804820998666335","10.4377848291616"
"9","3","3","30","50","90","70","50","50","50","0.5","2000","200","93.26213632811734","9","100","59.334092005621926","100","25","0","0","59.334092005621926","0.23836016107631722","3.129751204310581"
"8","3","3","30","50","90","70","50","50","50","0.5","2000","220","77.28845159124835","13","100","24.42193028144352","86.66666666666667","8.333333333333332","33.33333333333333","9.230703125","32.01754385966528","0.3900661997835469","10.303215290523417"
